,Genre,variable,value
700,War,Iceland,0.0
701,Western,Iceland,0.0
702,Action,Switzerland,0.0
703,Adventure,Switzerland,0.0
704,Animation,Switzerland,0.0
705,Biography,Switzerland,0.111111111111
706,Comedy,Switzerland,0.111111111111
707,Crime,Switzerland,0.0
708,Documentary,Switzerland,0.0
709,Drama,Switzerland,0.111111111111
710,Family,Switzerland,0.0
711,Fantasy,Switzerland,0.0
712,Film-Noir,Switzerland,0.0
713,Game-Show,Switzerland,0.0
714,History,Switzerland,0.0
715,Horror,Switzerland,0.0
716,Music,Switzerland,0.111111111111
717,Musical,Switzerland,0.0
718,Mystery,Switzerland,0.111111111111
719,News,Switzerland,0.0
720,Reality-TV,Switzerland,0.0
721,Romance,Switzerland,0.222222222222
722,Sci-Fi,Switzerland,0.111111111111
723,Short,Switzerland,0.0
724,Sport,Switzerland,0.0
725,Thriller,Switzerland,0.111111111111
726,War,Switzerland,0.0
727,Western,Switzerland,0.0
728,Action,Romania,0.0
729,Adventure,Romania,0.0
730,Animation,Romania,0.0
731,Biography,Romania,0.0
732,Comedy,Romania,0.25
733,Crime,Romania,0.0
734,Documentary,Romania,0.0
735,Drama,Romania,0.375
736,Family,Romania,0.0
737,Fantasy,Romania,0.125
738,Film-Noir,Romania,0.0
739,Game-Show,Romania,0.0
740,History,Romania,0.0
741,Horror,Romania,0.125
742,Music,Romania,0.0
743,Musical,Romania,0.0
744,Mystery,Romania,0.0
745,News,Romania,0.0
746,Reality-TV,Romania,0.0
747,Romance,Romania,0.0
748,Sci-Fi,Romania,0.0
749,Short,Romania,0.0
750,Sport,Romania,0.0
751,Thriller,Romania,0.125
752,War,Romania,0.0
753,Western,Romania,0.0
754,Action,West Germany,0.0
755,Adventure,West Germany,0.2
756,Animation,West Germany,0.0
757,Biography,West Germany,0.0
758,Comedy,West Germany,0.0
759,Crime,West Germany,0.0
760,Documentary,West Germany,0.0
761,Drama,West Germany,0.2
762,Family,West Germany,0.1
763,Fantasy,West Germany,0.1
764,Film-Noir,West Germany,0.0
765,Game-Show,West Germany,0.0
766,History,West Germany,0.0
767,Horror,West Germany,0.1
768,Music,West Germany,0.0
769,Musical,West Germany,0.0
770,Mystery,West Germany,0.1
771,News,West Germany,0.0
772,Reality-TV,West Germany,0.0
773,Romance,West Germany,0.0
774,Sci-Fi,West Germany,0.0
775,Short,West Germany,0.0
776,Sport,West Germany,0.0
777,Thriller,West Germany,0.1
778,War,West Germany,0.1
779,Western,West Germany,0.0
780,Action,Chile,0.0
781,Adventure,Chile,0.0
782,Animation,Chile,0.0
783,Biography,Chile,0.333333333333
784,Comedy,Chile,0.0
785,Crime,Chile,0.0
786,Documentary,Chile,0.0
787,Drama,Chile,0.333333333333
788,Family,Chile,0.0
789,Fantasy,Chile,0.0
790,Film-Noir,Chile,0.0
791,Game-Show,Chile,0.0
792,History,Chile,0.333333333333
793,Horror,Chile,0.0
794,Music,Chile,0.0
795,Musical,Chile,0.0
796,Mystery,Chile,0.0
797,News,Chile,0.0
798,Reality-TV,Chile,0.0
799,Romance,Chile,0.0
800,Sci-Fi,Chile,0.0
801,Short,Chile,0.0
802,Sport,Chile,0.0
803,Thriller,Chile,0.0
804,War,Chile,0.0
805,Western,Chile,0.0
806,Action,Netherlands,0.0714285714286
807,Adventure,Netherlands,0.0714285714286
808,Animation,Netherlands,0.0
809,Biography,Netherlands,0.0
810,Comedy,Netherlands,0.0714285714286
811,Crime,Netherlands,0.0714285714286
812,Documentary,Netherlands,0.0
813,Drama,Netherlands,0.285714285714
814,Family,Netherlands,0.0
815,Fantasy,Netherlands,0.0714285714286
816,Film-Noir,Netherlands,0.0
817,Game-Show,Netherlands,0.0
818,History,Netherlands,0.0714285714286
819,Horror,Netherlands,0.0
820,Music,Netherlands,0.0
821,Musical,Netherlands,0.0
822,Mystery,Netherlands,0.0714285714286
823,News,Netherlands,0.0
824,Reality-TV,Netherlands,0.0
825,Romance,Netherlands,0.0
826,Sci-Fi,Netherlands,0.0
827,Short,Netherlands,0.0
828,Sport,Netherlands,0.0
829,Thriller,Netherlands,0.0714285714286
830,War,Netherlands,0.142857142857
831,Western,Netherlands,0.0
832,Action,Hungary,0.0
833,Adventure,Hungary,0.142857142857
834,Animation,Hungary,0.0
835,Biography,Hungary,0.0
836,Comedy,Hungary,0.142857142857
837,Crime,Hungary,0.0
838,Documentary,Hungary,0.0
839,Drama,Hungary,0.142857142857
840,Family,Hungary,0.142857142857
841,Fantasy,Hungary,0.0
842,Film-Noir,Hungary,0.0
843,Game-Show,Hungary,0.0
844,History,Hungary,0.0
845,Horror,Hungary,0.0
846,Music,Hungary,0.0
847,Musical,Hungary,0.0
848,Mystery,Hungary,0.0
849,News,Hungary,0.0
850,Reality-TV,Hungary,0.0
851,Romance,Hungary,0.285714285714
852,Sci-Fi,Hungary,0.0
853,Short,Hungary,0.0
